transaction_id,vendor_id,gl_account_id,transaction_date,amount,description,invoice_number,payment_terms
CT10001,V002,GL5200,2025-04-17,3950.75,IT Managed Services,MSP-2025-04,Net 15
CT10002,V003,GL5300,2025-04-19,1250.00,Accounting Software Subscription,ACCT-SUB-0425,Net 30
CT10003,V008,GL5500,2025-04-24,2460.00,Cleaning Services,CLEAN-0425,Net 15
CT10004,V011,GL5600,2025-04-26,2150.00,Office Supplies,OFF-SUP-APR25,Net 30
CT10005,V004,GL6100,2025-04-20,3850.00,Legal Services - Contract Review,LS-2504-01,Net 45
CT10006,V010,GL5250,2025-04-27,1950.30,Internet Services,NET-APR-25,Net 15
CT10007,V014,GL5230,2025-04-12,1850.00,Data Backup Services,BKP-APR25,Net 30
CT10008,V015,GL5630,2025-04-14,1475.50,Printing Services,PRINT-0425,Net 15
CT10009,V016,GL7130,2025-04-15,995.75,Courier Services,COUR-APR25,Net 15
CT10010,V017,GL5520,2025-04-16,345.00,Document Destruction Services,SHRED-0425,Net 30
CT10011,V018,GL7220,2025-04-22,2250.00,Catering for Board Meeting,CATER-0422,Net 15
CT10012,V022,GL5210,2025-04-19,3250.00,Cloud Infrastructure Services,CLOUD-0425,Net 30
CT10013,V023,GL6530,2025-04-25,3750.00,Recruitment Services - Marketing Manager,REC-0425-01,Net 45
CT10014,V028,GL5620,2025-04-14,875.00,Coffee and Beverage Service,COF-APR25,Net 15
CT10015,V030,GL5220,2025-04-17,2850.00,Network Management Services,NET-APR25,Net 15
CT10016,V024,GL6300,2025-04-29,6500.00,Quality Testing Services - Q2,QA-Q225,Net 30
CT10017,V025,GL4520,2025-04-11,2100.00,Building Management System,BMS-APR25,Net 30
CT10018,V019,GL4520,2025-04-18,1250.00,Landscaping Maintenance,LAND-APR25,Net 30
CT10019,V021,GL5710,2025-04-15,1875.00,Office Furniture Maintenance - Q2,FURN-Q225,Net 30
CT10020,V026,GL6410,2025-04-26,8500.00,Executive Training Program - Q2,TRAIN-Q225,Net 45
