transaction_id,vendor_id,gl_account_id,transaction_date,amount,description,invoice_number,payment_terms
HT10001,V001,GL4500,2024-05-15,4250.00,Monthly Office Lease,INV-LEASE-0524,Net 30
HT10002,V002,GL5200,2024-05-18,3875.25,IT Managed Services,MSP-2024-05,Net 15
HT10003,V003,GL5300,2024-05-20,1250.00,Accounting Software Subscription,ACCT-SUB-0524,Net 30
HT10004,V004,GL6100,2024-05-21,5680.45,Legal Services - Contract Review,LS-2405-01,Net 45
HT10005,V005,GL5100,2024-05-22,4125.75,Utilities - Electricity,ELEC-05-2024,Net 21
HT10006,V006,GL5110,2024-05-22,1890.50,Utilities - Water,WATER-05-2024,Net 21
HT10007,V007,GL5400,2024-05-23,7500.00,Marketing Agency Services,MKT-MAY24,Net 30
HT10008,V008,GL5500,2024-05-25,2340.00,Cleaning Services,CLEAN-0524,Net 15
HT10009,V003,GL6200,2024-05-26,9500.00,Annual Audit Services,AUDIT-2024-1,Net 30
HT10010,V010,GL5250,2024-05-28,1875.30,Internet Services,NET-MAY-24,Net 15
HT10011,V014,GL5230,2024-05-10,1850.00,Data Backup Services,BKP-MAY24,Net 30
HT10012,V015,GL5630,2024-05-12,1245.50,Printing Services,PRINT-0524,Net 15
HT10013,V016,GL7130,2024-05-14,950.25,Courier Services,COUR-MAY24,Net 15
HT10014,V017,GL5520,2024-05-15,345.00,Document Destruction Services,SHRED-0524,Net 30
HT10015,V018,GL7220,2024-05-18,1750.00,Catering for Board Meeting,CATER-0518,Net 15
HT10016,V019,GL4520,2024-05-20,1250.00,Landscaping Maintenance,LAND-MAY24,Net 30
HT10017,V020,GL6330,2024-05-15,2750.00,Employee Benefits Administration,BEN-MAY24,Net 45
HT10018,V021,GL5710,2024-05-17,1875.00,Office Furniture Maintenance - Q2,FURN-Q224,Net 30
HT10019,V022,GL5210,2024-05-21,3250.00,Cloud Infrastructure Services,CLOUD-0524,Net 30
HT10020,V023,GL6530,2024-05-25,4500.00,Recruitment Services - Marketing Specialist,REC-0524-01,Net 45
HT10021,V025,GL4520,2024-05-10,2100.00,Building Management System,BMS-MAY24,Net 30
HT10022,V027,GL5120,2024-05-12,1750.00,Renewable Energy Services,RENW-MAY24,Net 21
HT10023,V028,GL5620,2024-05-14,875.00,Coffee and Beverage Service,COF-MAY24,Net 15
HT10024,V029,GL4530,2024-05-16,1950.00,Security Monitoring Services,SEC-MAY24,Net 30
HT10025,V030,GL5220,2024-05-18,2850.00,Network Management Services,NET-MAY24,Net 15
HT10026,V001,GL4500,2024-06-15,4250.00,Monthly Office Lease,INV-LEASE-0624,Net 30
HT10027,V002,GL5200,2024-06-17,3875.25,IT Managed Services,MSP-2024-06,Net 15
HT10028,V003,GL5300,2024-06-19,1250.00,Accounting Software Subscription,ACCT-SUB-0624,Net 30
HT10029,V004,GL6100,2024-06-22,3245.00,Legal Services - HR Consultation,LS-2406-01,Net 45
HT10030,V005,GL5100,2024-06-21,4320.35,Utilities - Electricity,ELEC-06-2024,Net 21
HT10031,V006,GL5110,2024-06-21,1920.75,Utilities - Water,WATER-06-2024,Net 21
HT10032,V007,GL5400,2024-06-22,7500.00,Marketing Agency Services,MKT-JUN24,Net 30
HT10033,V008,GL5500,2024-06-24,2340.00,Cleaning Services,CLEAN-0624,Net 15
HT10034,V011,GL5600,2024-06-26,2100.00,Office Supplies,OFF-SUP-JUN24,Net 30
HT10035,V010,GL5250,2024-06-27,1875.30,Internet Services,NET-JUN-24,Net 15
